Fri, 31-Mar-23, 7:30 PM, Gujarat Titans, Chennai Super Kings, Ahmedabad
Sat, 01-Apr-23, 3:30 PM, Punjab Kings, Kolkata Knight Riders, Mohali
Sat, 01-Apr-23, 7:30 PM, Lucknow Super Giants, Delhi Capitals, Lucknow
Sun, 02-Apr-23, 3:30 PM, Sunrisers Hyderabad, Rajasthan Royals, Hyderabad
Sun, 02-Apr-23, 7:30 PM, Royal Challengers Bangalore, Mumbai Indians, Bengaluru
Mon, 03-Apr-23, 7:30 PM, Chennai Super Kings, Lucknow Super Giants, Chennai
Tue, 04-Apr-23, 7:30 PM, Delhi Capitals, Gujarat Titans, Delhi
Wed, 05-Apr-23, 7:30 PM, Rajasthan Royals, Punjab Kings, Guwahati
Thu, 06-Apr-23, 7:30 PM, Kolkata Knight Riders, Royal Challengers Bangalore, Kolkata
Fri, 07-Apr-23, 7:30 PM, Lucknow Super Giants, Sunrisers Hyderabad, Lucknow
Sat, 08-Apr-23, 3:30 PM, Rajasthan Royals, Delhi Capitals, Guwahati
Sat, 08-Apr-23, 7:30 PM, Mumbai Indians, Chennai Super Kings, Mumbai
Sun, 09-Apr-23, 3:30 PM, Gujarat Titans, Kolkata Knight Riders, Ahmedabad
Sun, 09-Apr-23, 7:30 PM, Sunrisers Hyderabad, Punjab Kings, Hyderabad
Mon, 10-Apr-23, 7:30 PM, Royal Challengers Bangalore, Lucknow Super Giants, Bengaluru
Tue, 11-Apr-23, 7:30 PM, Delhi Capitals, Mumbai Indians, Delhi
Wed, 12-Apr-23, 7:30 PM, Chennai Super Kings, Rajasthan Royals, Chennai
Thu, 13-Apr-23, 7:30 PM, Punjab Kings, Gujarat Titans, Mohali
Fri, 14-Apr-23, 7:30 PM, Kolkata Knight Riders, Sunrisers Hyderabad, Kolkata
Sat, 15-Apr-23, 3:30 PM, Royal Challengers Bangalore, Delhi Capitals, Bengaluru
Sat, 15-Apr-23, 7:30 PM, Lucknow Super Giants, Punjab Kings, Lucknow
